PreferenceNumber,HS,MA,Professional
No Preferences,938,1390,792
No Course Allotted,584,313,92
1,267,464,969
2,220,176,772
3,213,68,624
4,109,15,476
5,65,11,339
6,27,0,196
7,9,0,112
8,3,0,86
9,2,0,41
10,0,0,30
11,0,0,13
12,0,0,10
13,0,0,7
14,0,0,4
15,0,0,1
16,0,0,1
17,0,0,0
18,0,0,1
