Student Roll Number, Course ID 
CH15B050,CH4530
CH15B051,HS4001
CH15B051,CH4530
CH15B054,HS3420A
CH15B055,CH5170
CH15B056,HS4001
CH15B061,HS3420A
CH15B061,CH4530
CH15B066,CH4530
CH15B070,HS4300
CH15B071,CH4530
CH15B073,CH4530
CH15B075,HS4002
CH15B075,MA2040
CH15B076,HS4002
CH15B077,HS4002
CH15B077,MA2040
CH15B077,CH5170
CH15B082,HS3007
CH15B084,HS4002
CH15B084,MA2040
CH15B088,MS4110
CH15B093,MA2040
CH15B093,CH5020
CH15B093,CH6260
CH16B003,HS3060
CH16B010,MS3510
CH16B014,CH5011
CH16B015,CH5020
CH16B016,CH5014
CH16B018,CH5014
CH16B019,CH5240
CH16B022,CH5014
CH16B023,CH5170
CH16B024,CH5170
CH16B025,ID6105
CH16B025,CH5170
CH16B026,HS4300
CH16B028,CH5170
CH16B039,CH5130
CH16B039,CH4010
CH16B040,HS4290
CH16B041,CH3170
CH16B042,CH3170
CH16B043,MA5014
CH16B044,MS4110
CH16B046,CH5014
CH16B047,CH5120
CH16B048,MS3510
CH16B049,MS3520
CH16B050,CH5120
CH16B050,ED5315
CH16B054,CH5170
CH16B055,CH5014
CH16B056,CH5130
CH16B058,CH5350
CH16B059,CH5020
CH16B060,CH3170
CH16B061,CH5170
CH16B062,CH5170
CH16B063,CH5020
CH16B065,HS4010
CH16B066,CH5170
CH16B106,CH5170
CH16B111,CH5350
CH16B116,MS4100
CH16B118,CH5014
CH16B119,BT3051
CH17B021,MA2040
CH17B036,HS4290
CH17B041,HS4290
CH17B075,MA2040
CH17B075,HS4002
CH17B112,MA2040
CS15B002,CS6570
CS15B004,GN5001
CS15B010,CS6251
CS15B012,CS6570
CS15B013,CS7015
CS15B013,HS2050
CS15B014,HS3007
CS15B018,HS3007
CS15B023,PH5840
CS15B023,CS6700
CS15B027,CS6111
CS15B029,CS6111
CS15B033,CS6120
CS15B037,CS6024
CS15B038,CS6570
CS15B040,CS6111
CS15B042,HS3007
CS15B044,CS6570
CS15B044,CS7015
CS15B044,CE5620
CS15B044,CE2040
CS15B046,CS7011
CS15B046,CS6023
CS15B049,CS6023
CS15B054,CS6570
CS15B054,CS7015
CS15B057,CS6111
CS15B060,MS3510
CS15B060,CS6600
CS16B002,HS4290
CS16B004,MS3610
CS16B005,MS3610
CS16B009,CS3700
CS16B010,MS3610
CS16B016,MS3610
CS16B018,HS4290
CS16B022,BT6270
CS16B024,MS3510
CS16B025,CS6014
CS16B030,MS3610
CS16B037,CS3700
CS16B037,CS6700
CS16B038,MS3610
CS16B039,MS3610
CS16B041,CS6100
CS16B044,MS3610
CS16B046,MS3610
CS16B110,MS3610
CS17B027,MS3520
CS17B037,MS3520
CS17B040,BT2010
CS17B044,MS3520
CS17B047,MS4110
CS17B105,BT2010
CS17B107,MS4110
CS17B108,MS4110
CS17B111,MS3520
CS17B115,BT2010
CS17B116,HS4031
ED15B001,ED6002
ED15B001,HS3420A
ED15B003,ED6002
ED15B004,ED5317
ED15B008,ED5011
ED15B009,MA2040
ED15B010,HS3031
ED15B011,HS4010
ED15B012,AM6516
ED15B015,ED5011
ED15B019,HS3420A
ED15B020,CS5020
ED15B022,MA2040
ED15B022,AS5420
ED15B023,MS3520
ED15B025,ED5080
ED15B026,MS6010
ED15B027,HS3420
ED15B028,ED5011
ED15B029,HS4210
ED15B029,MA2130
ED15B029,ED5011
ED15B029,PE6050
ED15B030,BT5011
ED15B032,CS6024
ED15B035,CH5350
ED15B039,MA2040
ED15B042,MS3520
ED15B043,CS6700
ED15B044,HS3031
ED15B050,ED6002
ED15B050,MM5006
ED15B051,ED5315
ED15B052,ED6001
ED15B053,HS3031
ED15B055,ED6001
ED15B055,CH5350
ED15B055,HS6940
ED15B056,GN5001
ED16B007,ED5315
ED16B009,ED5011
ED16B011,ED5011
ED16B016,MS4100
ED16B017,ED5160
ED16B019,ED5011
ED16B021,ED5011
ED16B030,ED5315
ED16B031,ED5315
ED16B031,AM5510
ED16B037,ED5011
ED16B040,ED5011
ED16B041,ED5011
ED16B044,ED5011
ED16B048,AS5570
ED16B057,ED5011
ED16B058,ED5315
EE15B001,HS4290
EE15B002,EE3002
EE15B003,ID4100
EE15B003,BT6270
EE15B003,AM6516
EE15B004,MA2040
EE15B011,EE4140
EE15B011,HS3420A
EE15B014,EE4140
EE15B014,MA2020
EE15B015,EE4140
EE15B017,MS4110
EE15B018,ID4100
EE15B018,HS3420A
EE15B019,CS6700
EE15B025,CS7011
EE15B025,ID4100
EE15B026,CS3500
EE15B028,EE5413
EE15B028,CH5350
EE15B028,EE4140
EE15B030,HS4001
EE15B031,EE4140
EE15B035,AM6516
EE15B036,EE4140
EE15B036,HS3060
EE15B037,CS6023
EE15B037,MA2020
EE15B037,HS6940
EE15B040,AS5711
EE15B040,MM5024
EE15B040,EE4140
EE15B041,MS3520
EE15B041,HS3420A
EE15B042,HS1090
EE15B044,MA2040
EE15B044,EE4140
EE15B047,ID5030
EE15B048,EE3003
EE15B051,EE4140
EE15B052,CS6100
EE15B052,EE6132
EE15B053,EE5150
EE15B062,EE3003
EE15B062,EE4140
EE15B065,CS2700
EE15B065,CS2710
EE15B065,CS6111
EE15B069,CH5170
EE15B073,EE5325
EE15B075,EE4140
EE15B076,EE5204
EE15B077,MS4110
EE15B078,EE3003
EE15B079,MS4110
EE15B079,EE4140
EE15B079,EE3003
EE15B080,HS3007
EE15B081,EE5150
EE15B084,EE4140
EE15B085,CS7015
EE15B085,EE4140
EE15B086,EE4140
EE15B086,EE5204
EE15B087,EE5204
EE15B088,ID4100
EE15B089,BT3072
EE15B089,EE3003
EE15B090,EE4140
EE15B090,HS3007
EE15B093,EE4140
EE15B093,EE5150
EE15B093,EE5311
EE15B093,HS3031
EE15B094,CS7015
EE15B098,EE3003
EE15B098,EE4140
EE15B100,ID5030
EE15B101,HS4350
EE15B101,EE4140
EE15B102,EE4140
EE15B103,ID5030
EE15B104,EE5204
EE15B104,MA2040
EE15B105,ID4100
EE15B106,EP3200
EE15B107,EE5150
EE15B108,EE3005
EE15B108,CS6251
EE15B109,CS7011
EE15B110,EE3005
EE15B110,EE4708
EE15B110,MA5741
EE15B111,EE4140
EE15B111,EE5411
EE15B111,EE4502
EE15B112,EE3005
EE15B112,HS4002
EE15B112,ID4100
EE15B113,EE4140
EE15B113,EE5150
EE15B114,EE4140
EE15B115,HS5920
EE15B115,PH2170
EE15B116,MS4110
EE15B116,EE4140
EE15B117,CH5170
EE15B117,CS7011
EE15B118,EE5311
EE15B118,EE4140
EE15B119,EE3005
EE15B119,HS4350
EE15B119,EE5120
EE15B119,BT3072
EE15B120,MS4110
EE15B122,EE4140
EE15B123,EE4140
EE15B123,CS6251
EE15B127,CS7015
EE15B127,CS6700
EE15B127,EE4140
EE15B128,HS3031
EE15B129,EE4140
EE15B130,BT6270
EE15B131,EE4140
EE15B134,EE5150
EE16B001,MA2040
EE16B002,MA2040
EE16B002,MS4110
EE16B006,EE3005
EE16B008,MA2040
EE16B014,EE3005
EE16B015,EE3005
EE16B016,MA2040
EE16B019,EE3005
EE16B022,EE3005
EE16B023,MA2040
EE16B024,EE3005
EE16B025,ID5030
EE16B026,MS3510
EE16B028,EE3005
EE16B030,EE3005
EE16B031,EE3005
EE16B031,MS4110
EE16B033,EE3005
EE16B034,EE3005
EE16B036,EE6132
EE16B040,EE3005
EE16B040,CS5020
EE16B041,EE3005
EE16B042,CH5170
EE16B042,MA2040
EE16B044,MA2040
EE16B044,EE3005
EE16B046,EE2003
EE16B049,EE3005
EE16B052,EE3005
EE16B053,MA2040
EE16B058,EE3005
EE16B058,EE6132
EE16B060,EE3005
EE16B060,EE3002
EE16B061,EE3005
EE16B061,MA2040
EE16B063,MA2040
EE16B064,MA2040
EE16B064,EE3005
EE16B065,ID5030
EE16B065,EE3005
EE16B068,EE3005
EE16B069,MA2040
EE16B070,EE3002
EE16B070,EE3313
EE16B071,EE3005
EE16B104,MA2040
EE16B105,MA2040
EE16B106,EE3005
EE16B107,MA2040
EE16B109,MA2040
EE16B111,MA2130
EE16B117,MA2040
EE16B117,CS6023
EE16B118,MA2040
EE16B120,MA2130
EE16B120,EE3005
EE16B121,MA2040
EE16B121,MS4110
EE16B122,MA2040
EE16B125,MA2040
EE16B126,MA2040
EE16B127,EE3005
EE16B127,EE4140
EE16B128,EE3002
EE16B129,EE3005
EE16B130,MA2040
EE16B131,EE3005
EE16B133,MA2040
EE16B136,MA2040
EE16B138,MA2040
EE16B140,EE3005
EE16B140,MA2040
EE16B143,EE3005
EE16B143,MA2040
EE16B144,MA2040
EE16B144,EE3005
EE16B145,EE3005
EE16B146,ID5030
EE16B146,MA2040
EE16B147,MS3510
EE16B148,MA2040
EE16B149,MA2040
EE16B150,MA2040
EE16B152,MA2040
EE16B153,EE3005
EE16B156,MA2040
EE16B158,MA2040
EE16B159,MA2040
EE16B160,MA2040
EE16B160,EE2003
EE17B001,MA2040
EE17B002,MA2040
EE17B003,MA2130
EE17B006,MA2130
EE17B008,MA2130
EE17B020,HS4290
EE17B025,MA2040
EE17B028,HS3002A
EE17B038,MA2040
EE17B043,HS4571
EE17B051,HS4571
EE17B052,CS5020
EE17B059,MA2040
EE17B069,MA2040
EE17B073,MS3510
EE17B107,HS4290
EE17B110,MA2020
EE17B117,HS4290
EE17B127,MA2020
EE17B129,MA2040
EE17B131,HS4290
EE17B132,MA2040
EE17B134,HS4002
EE17B135,MA2040
EE17B143,HS4290
EE17B145,MA2040
EE17B148,EP2100
EE17B151,MA2040
EE17B152,MA2040
EE17B153,HS4290
EP15B001,PH5730
EP15B002,MA2130
EP15B002,MS4110
EP15B003,MA5400
EP15B005,CS5020
EP15B005,ID6105
EP15B007,PH5211
EP15B008,EE4371
EP15B008,PH3500
EP15B008,HS4350
EP15B010,MA2020
EP15B012,CS6111
EP15B013,HS4350
EP15B015,CH5170
EP15B015,HS4350
EP15B016,CH5170
EP15B016,HS4350
EP15B018,EE5204
EP15B018,HS6940
EP15B025,PH3500
EP15B025,MS4110
EP15B026,EE3005
EP15B026,EE4140
EP15B028,CS3700
EP15B028,EE5204
EP15B031,HS4001
EP16B001,MA2040
EP16B001,HS4290
EP16B002,HS4571
EP16B003,HS4290
EP16B004,MA2040
EP16B005,EE3005
EP16B006,MA2040
EP16B007,HS4002
EP16B007,EE3301
EP16B008,MA2040
EP16B009,MA2040
EP16B009,EE5311
EP16B011,MA2040
EP16B011,EP2100
EP16B013,MA2040
EP16B013,EP3200
EP16B014,MA2040
EP16B016,HS4290
EP16B020,HS4571
EP16B022,MA2040
EP16B024,MS3510
EP16B024,MA2020
EP16B025,BT2012
EP16B025,MA2040
EP16B026,MS4110
EP16B026,MA2040
EP16B027,HS4002
EP16B028,MA2040
EP16B030,EE3005
EP17B002,MA2040
EP17B004,MA2040
EP17B004,HS3007
EP17B013,HS4002
EP17B017,MS3710
EP17B019,MS3710
EP17B026,HS4002
EP17B029,MS3710
ME15B002,MS4110
ME15B002,MS6010
ME15B004,ME5205
ME15B004,EE3004
ME15B004,ME3126
ME15B004,CH5170
ME15B005,ME5132
ME15B005,HS3420A
ME15B005,ME5103
ME15B006,ID6106
ME15B009,ME5103
ME15B009,HS3420A
ME15B011,HS3420A
ME15B011,ME5103
ME15B012,MA2040
ME15B012,ME5001
ME15B013,ME6127
ME15B014,ME6127
ME15B016,HS3007
ME15B016,ME6127
ME15B017,ME6127
ME15B017,MA2130
ME15B019,MA2130
ME15B020,MA2040
ME15B021,ED5315
ME15B021,ED3010
ME15B022,MS3520
ME15B024,MA2130
ME15B025,MA2040
ME15B026,MS3520
ME15B027,ME5132
ME15B029,MA2040
ME15B030,ME3126
ME15B031,MA2040
ME15B032,MA2040
ME15B032,ME5132
ME15B033,MA2040
ME15B033,ME5303
ME15B034,AM5390
ME15B034,AM5016
ME15B035,MS3520
ME15B036,HS6940
ME15B037,CE1010
ME15B037,CS2700
ME15B038,HS3060
ME15B039,MA2040
ME15B040,ME7200
ME15B040,HS4002
ME15B040,ME5129
ME15B041,HS4300
ME15B042,MA2040
ME15B044,HS4350
ME15B047,MS3520
ME15B048,AM6516
ME15B049,MA2040
ME15B049,HS3420
ME15B051,CH5350
ME15B052,MA2040
ME15B052,CH5170
ME15B053,MA2040
ME15B053,ME5107
ME15B053,ME3126
ME15B054,GN5001
ME15B054,CH5350
ME15B056,HS3420A
ME15B056,ED3010
ME15B057,MA2040
ME15B057,AM5450
ME15B057,HS3420A
ME15B057,OE6980
ME15B058,GN5001
ME15B058,MS6010
ME15B059,AM5450
ME15B060,MS3610
ME15B060,ME6060
ME15B060,ME4550
ME15B061,MS4110
ME15B061,CH5350
ME15B062,GN5001
ME15B062,ME5012
ME15B062,ME5103
ME15B065,MA2040
ME15B065,MS4120
ME15B066,GN5001
ME15B066,ME5109
ME15B067,MA2040
ME15B067,MS4110
ME15B068,MA2040
ME15B068,ME5001
ME15B068,HS3031
ME15B068,MM3012
ME15B068,CE5900
ME15B069,ME3126
ME15B071,MA2040
ME15B071,ME5132
ME15B071,MS4120
ME15B072,MS4120
ME15B072,HS3060
ME15B073,HS4350
ME15B073,ME5132
ME15B074,MA2040
ME15B074,AM5011
ME15B075,ME5303
ME15B075,HS4002
ME15B075,HS3420
ME15B075,ME6227
ME15B076,ME4550
ME15B083,HS4001
ME15B083,MA2040
ME15B085,ME5109
ME15B086,CH5020
ME15B086,MA2040
ME15B087,CH5350
ME15B088,ID6105
ME15B088,AM5801
ME15B088,AM5600
ME15B088,AM5630
ME15B088,CS6360
ME15B088,AM5011
ME15B089,PH5840
ME15B090,GN5001
ME15B091,MA2040
ME15B092,ME5303
ME15B092,ME5323
ME15B092,ME5305
ME15B092,ME5307
ME15B092,HS3420A
ME15B093,ME5303
ME15B093,ME5305
ME15B093,ME5307
ME15B093,ME5323
ME15B095,MA2040
ME15B095,ME7223
ME15B096,MA2040
ME15B098,MA2040
ME15B098,ME5303
ME15B102,ME7223
ME15B102,MA2130
ME15B105,EE5204
ME15B107,MA2040
ME15B108,MA2040
ME15B109,GN5001
ME15B112,EE5204
ME15B113,MA2040
ME15B113,ME5204
ME15B116,ME5204
